siteType,geographicRegion,states,timePeriod,numSites,numRecords
"Lake, Reservoir, Impoundment",West,"WA, OR, MT, ID, WY, CA, NV, UT, CO", Before 1900,1,9
"Lake, Reservoir, Impoundment",West,"WA, OR, MT, ID, WY, CA, NV, UT, CO",1900-1949,34,520
"Lake, Reservoir, Impoundment",West,"WA, OR, MT, ID, WY, CA, NV, UT, CO",1950-1974,883,134370
"Lake, Reservoir, Impoundment",West,"WA, OR, MT, ID, WY, CA, NV, UT, CO",1975-1999,5102,1651686
"Lake, Reservoir, Impoundment",West,"WA, OR, MT, ID, WY, CA, NV, UT, CO",2000-Present,3770,1802807
"Lake, Reservoir, Impoundment",Southwest,"AZ, NM, OK, TX", Before 1900,6,1023
"Lake, Reservoir, Impoundment",Southwest,"AZ, NM, OK, TX",1900-1949,12,3098
"Lake, Reservoir, Impoundment",Southwest,"AZ, NM, OK, TX",1950-1974,283,160380
"Lake, Reservoir, Impoundment",Southwest,"AZ, NM, OK, TX",1975-1999,1847,1083783
"Lake, Reservoir, Impoundment",Southwest,"AZ, NM, OK, TX",2000-Present,1248,656261
"Lake, Reservoir, Impoundment",Midwest,"WI, ND, SD, MN, NE, IA, KS, MO, IL, IN, MI, OH", Before 1900,57,14591
"Lake, Reservoir, Impoundment",Midwest,"WI, ND, SD, MN, NE, IA, KS, MO, IL, IN, MI, OH",1900-1949,132,2895
"Lake, Reservoir, Impoundment",Midwest,"WI, ND, SD, MN, NE, IA, KS, MO, IL, IN, MI, OH",1950-1974,1244,133130
"Lake, Reservoir, Impoundment",Midwest,"WI, ND, SD, MN, NE, IA, KS, MO, IL, IN, MI, OH",1975-1999,16445,3798561
"Lake, Reservoir, Impoundment",Midwest,"WI, ND, SD, MN, NE, IA, KS, MO, IL, IN, MI, OH",2000-Present,33630,7997268
"Lake, Reservoir, Impoundment",South,"AR, LA, MS, AL, TN, KY, FL, GA, SC, NC, WV, VA", Before 1900,1,12
"Lake, Reservoir, Impoundment",South,"AR, LA, MS, AL, TN, KY, FL, GA, SC, NC, WV, VA",1900-1949,29,1780
"Lake, Reservoir, Impoundment",South,"AR, LA, MS, AL, TN, KY, FL, GA, SC, NC, WV, VA",1950-1974,844,192654
"Lake, Reservoir, Impoundment",South,"AR, LA, MS, AL, TN, KY, FL, GA, SC, NC, WV, VA",1975-1999,8404,3014141
"Lake, Reservoir, Impoundment",South,"AR, LA, MS, AL, TN, KY, FL, GA, SC, NC, WV, VA",2000-Present,12787,6048166
"Lake, Reservoir, Impoundment",Northeast,"PA, NY, MD, DE, NJ, CT, RI, MA, VT, NH, ME", Before 1900,1,565
"Lake, Reservoir, Impoundment",Northeast,"PA, NY, MD, DE, NJ, CT, RI, MA, VT, NH, ME",1900-1949,3,54
"Lake, Reservoir, Impoundment",Northeast,"PA, NY, MD, DE, NJ, CT, RI, MA, VT, NH, ME",1950-1974,558,55602
"Lake, Reservoir, Impoundment",Northeast,"PA, NY, MD, DE, NJ, CT, RI, MA, VT, NH, ME",1975-1999,2739,559262
"Lake, Reservoir, Impoundment",Northeast,"PA, NY, MD, DE, NJ, CT, RI, MA, VT, NH, ME",2000-Present,5374,1403841
